start	end	type
cpd:C00197;5230	cpd:C00236	type4
5232	cpd:C00197;5232	type2
cpd:C00197	cpd:C00197;5232	type3
cpd:C00197;5232	cpd:C00236	type4
5230	cpd:C00236;5230	type2
cpd:C00236	cpd:C00236;5230	type3
cpd:C00236;5230	cpd:C00197	type4
5232	cpd:C00236;5232	type2
cpd:C00236	cpd:C00236;5232	type3
cpd:C00236;5232	cpd:C00197	type4
5105	cpd:C00036;5105	type2
cpd:C00036	cpd:C00036;5105	type3
cpd:C00036;5105	cpd:C00074	type4
5106	cpd:C00036;5106	type2
cpd:C00036	cpd:C00036;5106	type3
cpd:C00036;5106	cpd:C00074	type4
5105	cpd:C00074;5105	type2
cpd:C00074	cpd:C00074;5105	type3
cpd:C00074;5105	cpd:C00036	type4
5106	cpd:C00074;5106	type2
cpd:C00074	cpd:C00074;5106	type3
cpd:C00074;5106	cpd:C00036	type4
441531	cpd:C01159;441531	type2
cpd:C01159	cpd:C01159;441531	type3
cpd:C01159;441531	cpd:C00197	type4
5223	cpd:C01159;5223	type2
cpd:C01159	cpd:C01159;5223	type3
cpd:C01159;5223	cpd:C00197	type4
5224	cpd:C01159;5224	type2
cpd:C01159	cpd:C01159;5224	type3
cpd:C01159;5224	cpd:C00197	type4
669	cpd:C01159;669	type2
cpd:C01159	cpd:C01159;669	type3
cpd:C01159;669	cpd:C00197	type4
441531	cpd:C00197;441531	type2
cpd:C00197	cpd:C00197;441531	type3
cpd:C00197;441531	cpd:C01159	type4
5223	cpd:C00197;5223	type2
cpd:C00197	cpd:C00197;5223	type3
cpd:C00197;5223	cpd:C01159	type4
5224	cpd:C00197;5224	type2
cpd:C00197	cpd:C00197;5224	type3
cpd:C00197;5224	cpd:C01159	type4
669	cpd:C00197;669	type2
cpd:C00197	cpd:C00197;669	type3
cpd:C00197;669	cpd:C01159	type4
669	cpd:C00236;669	type2
cpd:C00236	cpd:C00236;669	type3
cpd:C00236;669	cpd:C01159	type4
669	cpd:C01159;669	type2
cpd:C01159	cpd:C01159;669	type3
cpd:C01159;669	cpd:C00236	type4
23181	cpd:C00033;23181	type2
cpd:C00033	cpd:C00033;23181	type3
cpd:C00033;23181	cpd:C00024	type4
55902	cpd:C00033;55902	type2
cpd:C00033	cpd:C00033;55902	type3
cpd:C00033;55902	cpd:C00024	type4
84532	cpd:C00033;84532	type2
cpd:C00033	cpd:C00033;84532	type3
cpd:C00033;84532	cpd:C00024	type4
23181	cpd:C00024;23181	type2
cpd:C00024	cpd:C00024;23181	type3
cpd:C00024;23181	cpd:C00033	type4
55902	cpd:C00024;55902	type2
cpd:C00024	cpd:C00024;55902	type3
cpd:C00024;55902	cpd:C00033	type4
84532	cpd:C00024;84532	type2
cpd:C00024	cpd:C00024;84532	type3
cpd:C00024;84532	cpd:C00033	type4
83440	cpd:C00267;83440	type2
cpd:C00267	cpd:C00267;83440	type3
cpd:C00267;83440	cpd:C00668	type4
83440	cpd:C00221;83440	type2
cpd:C00221	cpd:C00221;83440	type3
cpd:C00221;83440	cpd:C01172	type4
83440	cpd:C01172;83440	type2
cpd:C01172	cpd:C01172;83440	type3
cpd:C01172;83440	cpd:C00221	type4
9562	cpd:C01159;9562	type2
cpd:C01159	cpd:C01159;9562	type3
cpd:C01159;9562	cpd:C00631	type4
