start	end	type
cpd:C00118	cpd:C00111;cpd:C00118;11674	type3
cpd:C00111;cpd:C00118;11674	cpd:C05378	type4
11676	cpd:C00111;cpd:C00118;11676	type2
cpd:C00111	cpd:C00111;cpd:C00118;11676	type3
cpd:C00118	cpd:C00111;cpd:C00118;11676	type3
cpd:C00111;cpd:C00118;11676	cpd:C05378	type4
230163	cpd:C00111;cpd:C00118;230163	type2
cpd:C00111	cpd:C00111;cpd:C00118;230163	type3
cpd:C00118	cpd:C00111;cpd:C00118;230163	type3
cpd:C00111;cpd:C00118;230163	cpd:C05378	type4
353204	cpd:C00111;cpd:C00118;353204	type2
cpd:C00111	cpd:C00111;cpd:C00118;353204	type3
cpd:C00118	cpd:C00111;cpd:C00118;353204	type3
cpd:C00111;cpd:C00118;353204	cpd:C05378	type4
79459	cpd:C00111;cpd:C00118;79459	type2
cpd:C00111	cpd:C00111;cpd:C00118;79459	type3
cpd:C00118	cpd:C00111;cpd:C00118;79459	type3
cpd:C00111;cpd:C00118;79459	cpd:C05378	type4
11674	cpd:C00118;11674	type2
cpd:C00118	cpd:C00118;11674	type3
cpd:C00118;11674	cpd:C05378	type4
11676	cpd:C00118;11676	type2
cpd:C00118	cpd:C00118;11676	type3
cpd:C00118;11676	cpd:C05378	type4
230163	cpd:C00118;230163	type2
cpd:C00118	cpd:C00118;230163	type3
cpd:C00118;230163	cpd:C05378	type4
353204	cpd:C00118;353204	type2
cpd:C00118	cpd:C00118;353204	type3
cpd:C00118;353204	cpd:C05378	type4
79459	cpd:C00118;79459	type2
cpd:C00118	cpd:C00118;79459	type3
cpd:C00118;79459	cpd:C05378	type4
18641	cpd:C05345;18641	type2
cpd:C05345	cpd:C05345;18641	type3
cpd:C05345;18641	cpd:C05378	type4
18642	cpd:C05345;18642	type2
cpd:C05345	cpd:C05345;18642	type3
cpd:C05345;18642	cpd:C05378	type4
56421	cpd:C05345;56421	type2
cpd:C05345	cpd:C05345;56421	type3
cpd:C05345;56421	cpd:C05378	type4
14120	cpd:C05378;14120	type2
cpd:C05378	cpd:C05378;14120	type3
cpd:C05378;14120	cpd:C05345	type4
14121	cpd:C05378;14121	type2
cpd:C05378	cpd:C05378;14121	type3
cpd:C05378;14121	cpd:C05345	type4
14751	cpd:C00668;14751	type2
cpd:C00668	cpd:C00668;14751	type3
cpd:C00668;14751	cpd:C05345	type4
14751	cpd:C05345;14751	type2
cpd:C05345	cpd:C05345;14751	type3
cpd:C05345;14751	cpd:C00668	type4
66681	cpd:C00103;66681	type2
cpd:C00103	cpd:C00103;66681	type3
cpd:C00103;66681	cpd:C00668	type4
72157	cpd:C00103;72157	type2
cpd:C00103	cpd:C00103;72157	type3
cpd:C00103;72157	cpd:C00668	type4
66681	cpd:C00668;66681	type2
cpd:C00668	cpd:C00668;66681	type3
cpd:C00668;66681	cpd:C00103	type4
72157	cpd:C00668;72157	type2
cpd:C00668	cpd:C00668;72157	type3
cpd:C00668;72157	cpd:C00103	type4
14751	cpd:C01172;14751	type2
cpd:C01172	cpd:C01172;14751	type3
cpd:C01172;14751	cpd:C05345	type4
14751	cpd:C05345;14751	type2
cpd:C05345	cpd:C05345;14751	type3
cpd:C05345;14751	cpd:C01172	type4
15275	cpd:C00221;15275	type2
cpd:C00221	cpd:C00221;15275	type3
cpd:C00221;15275	cpd:C01172	type4
15277	cpd:C00221;15277	type2
cpd:C00221	cpd:C00221;15277	type3
cpd:C00221;15277	cpd:C01172	type4
212032	cpd:C00221;212032	type2
cpd:C00221	cpd:C00221;212032	type3
cpd:C00221;212032	cpd:C01172	type4
216019	cpd:C00221;216019	type2
cpd:C00221	cpd:C00221;216019	type3
cpd:C00221;216019	cpd:C01172	type4
103988	cpd:C00221;103988	type2
cpd:C00221	cpd:C00221;103988	type3
cpd:C00221;103988	cpd:C01172	type4
NA	cpd:C00668;NA	type2
cpd:C00668	cpd:C00668;NA	type3
cpd:C00668;NA	cpd:C01172	type4
14751	cpd:C00668;14751	type2
cpd:C00668	cpd:C00668;14751	type3
cpd:C00668;14751	cpd:C01172	type4
NA	cpd:C01172;NA	type2
cpd:C01172	cpd:C01172;NA	type3
cpd:C01172;NA	cpd:C00668	type4
14751	cpd:C01172;14751	type2
cpd:C01172	cpd:C01172;14751	type3
cpd:C01172;14751	cpd:C00668	type4
319625	cpd:C00267;319625	type2
cpd:C00267	cpd:C00267;319625	type3
cpd:C00267;319625	cpd:C00221	type4
319625	cpd:C00221;319625	type2
cpd:C00221	cpd:C00221;319625	type3
cpd:C00221;319625	cpd:C00267	type4
15275	cpd:C00267;15275	type2
cpd:C00267	cpd:C00267;15275	type3
cpd:C00267;15275	cpd:C00668	type4
15277	cpd:C00267;15277	type2
cpd:C00267	cpd:C00267;15277	type3
cpd:C00267;15277	cpd:C00668	type4
212032	cpd:C00267;212032	type2
cpd:C00267	cpd:C00267;212032	type3
cpd:C00267;212032	cpd:C00668	type4
216019	cpd:C00267;216019	type2
cpd:C00267	cpd:C00267;216019	type3
cpd:C00267;216019	cpd:C00668	type4
103988	cpd:C00267;103988	type2
cpd:C00267	cpd:C00267;103988	type3
cpd:C00267;103988	cpd:C00668	type4
15275	cpd:C00668;15275	type2
cpd:C00668	cpd:C00668;15275	type3
cpd:C00668;15275	cpd:C00267	type4
15277	cpd:C00668;15277	type2
cpd:C00668	cpd:C00668;15277	type3
cpd:C00668;15277	cpd:C00267	type4
212032	cpd:C00668;212032	type2
cpd:C00668	cpd:C00668;212032	type3
cpd:C00668;212032	cpd:C00267	type4
216019	cpd:C00668;216019	type2
cpd:C00668	cpd:C00668;216019	type3
cpd:C00668;216019	cpd:C00267	type4
103988	cpd:C00668;103988	type2
cpd:C00668	cpd:C00668;103988	type3
cpd:C00668;103988	cpd:C00267	type4
14377	cpd:C00668;14377	type2
cpd:C00668	cpd:C00668;14377	type3
cpd:C00668;14377	cpd:C00267	type4
14378	cpd:C00668;14378	type2
cpd:C00668	cpd:C00668;14378	type3
cpd:C00668;14378	cpd:C00267	type4
68401	cpd:C00668;68401	type2
cpd:C00668	cpd:C00668;68401	type3
cpd:C00668;68401	cpd:C00267	type4
14377	cpd:C00267;14377	type2
cpd:C00267	cpd:C00267;14377	type3
cpd:C00267;14377	cpd:C00668	type4
14378	cpd:C00267;14378	type2
cpd:C00267	cpd:C00267;14378	type3
cpd:C00267;14378	cpd:C00668	type4
68401	cpd:C00267;68401	type2
cpd:C00267	cpd:C00267;68401	type3
cpd:C00267;68401	cpd:C00668	type4
13382	cpd:C15973;13382	type2
cpd:C15973	cpd:C15973;13382	type3
cpd:C15973;13382	cpd:C15972	type4
13382	cpd:C15972;13382	type2
cpd:C15972	cpd:C15972;13382	type3
cpd:C15972;13382	cpd:C15973	type4
18655	cpd:C00197;18655	type2
cpd:C00197	cpd:C00197;18655	type3
cpd:C00197;18655	cpd:C00236	type4
18663	cpd:C00197;18663	type2
cpd:C00197	cpd:C00197;18663	type3
cpd:C00197;18663	cpd:C00236	type4
18655	cpd:C00236;18655	type2
cpd:C00236	cpd:C00236;18655	type3
cpd:C00236;18655	cpd:C00197	type4
18663	cpd:C00236;18663	type2
cpd:C00236	cpd:C00236;18663	type3
cpd:C00236;18663	cpd:C00197	type4
18534	cpd:C00036;18534	type2
cpd:C00036	cpd:C00036;18534	type3
cpd:C00036;18534	cpd:C00074	type4
74551	cpd:C00036;74551	type2
cpd:C00036	cpd:C00036;74551	type3
cpd:C00036;74551	cpd:C00074	type4
18534	cpd:C00074;18534	type2
cpd:C00074	cpd:C00074;18534	type3
cpd:C00074;18534	cpd:C00036	type4
74551	cpd:C00074;74551	type2
cpd:C00074	cpd:C00074;74551	type3
cpd:C00074;74551	cpd:C00036	type4
12183	cpd:C01159;12183	type2
cpd:C01159	cpd:C01159;12183	type3
cpd:C01159;12183	cpd:C00197	type4
18648	cpd:C01159;18648	type2
cpd:C01159	cpd:C01159;18648	type3
cpd:C01159;18648	cpd:C00197	type4
56012	cpd:C01159;56012	type2
cpd:C01159	cpd:C01159;56012	type3
cpd:C01159;56012	cpd:C00197	type4
12183	cpd:C00197;12183	type2
cpd:C00197	cpd:C00197;12183	type3
cpd:C00197;12183	cpd:C01159	type4
18648	cpd:C00197;18648	type2
cpd:C00197	cpd:C00197;18648	type3
cpd:C00197;18648	cpd:C01159	type4
56012	cpd:C00197;56012	type2
cpd:C00197	cpd:C00197;56012	type3
cpd:C00197;56012	cpd:C01159	type4
12183	cpd:C00236;12183	type2
cpd:C00236	cpd:C00236;12183	type3
cpd:C00236;12183	cpd:C01159	type4
12183	cpd:C01159;12183	type2
cpd:C01159	cpd:C01159;12183	type3
cpd:C01159;12183	cpd:C00236	type4
60525	cpd:C00033;60525	type2
cpd:C00033	cpd:C00033;60525	type3
cpd:C00033;60525	cpd:C00024	type4
64451	cpd:C00033;64451	type2
cpd:C00033	cpd:C00033;64451	type3
cpd:C00033;64451	cpd:C00024	type4
68738	cpd:C00033;68738	type2
cpd:C00033	cpd:C00033;68738	type3
cpd:C00033;68738	cpd:C00024	type4
60525	cpd:C00024;60525	type2
cpd:C00024	cpd:C00024;60525	type3
cpd:C00024;60525	cpd:C00033	type4
64451	cpd:C00024;64451	type2
cpd:C00024	cpd:C00024;64451	type3
cpd:C00024;64451	cpd:C00033	type4
68738	cpd:C00024;68738	type2
cpd:C00024	cpd:C00024;68738	type3
cpd:C00024;68738	cpd:C00033	type4
72141	cpd:C00267;72141	type2
cpd:C00267	cpd:C00267;72141	type3
cpd:C00267;72141	cpd:C00668	type4
72141	cpd:C00221;72141	type2
cpd:C00221	cpd:C00221;72141	type3
cpd:C00221;72141	cpd:C01172	type4
72141	cpd:C01172;72141	type2
cpd:C01172	cpd:C01172;72141	type3
cpd:C01172;72141	cpd:C00221	type4
17330	cpd:C01159;17330	type2
cpd:C01159	cpd:C01159;17330	type3
cpd:C01159;17330	cpd:C00631	type4
17330	cpd:C00631;17330	type2
cpd:C00631	cpd:C00631;17330	type3
cpd:C00631;17330	cpd:C01159	type4
18293	cpd:C00026;cpd:C00068;18293	type2
cpd:C00026	cpd:C00026;cpd:C00068;18293	type3
cpd:C00068	cpd:C00026;cpd:C00068;18293	type3
cpd:C00026;cpd:C00068;18293	cpd:C05381	type4
209692	cpd:C00026;cpd:C00068;209692	type2
cpd:C00026	cpd:C00026;cpd:C00068;209692	type3
cpd:C00068	cpd:C00026;cpd:C00068;209692	type3
cpd:C00026;cpd:C00068;209692	cpd:C05381	type4
239017	cpd:C00026;cpd:C00068;239017	type2
cpd:C00026	cpd:C00026;cpd:C00068;239017	type3
cpd:C00068	cpd:C00026;cpd:C00068;239017	type3
cpd:C00026;cpd:C00068;239017	cpd:C05381	type4
18293	cpd:C05381;cpd:C15972;18293	type2
cpd:C05381	cpd:C05381;cpd:C15972;18293	type3
cpd:C15972	cpd:C05381;cpd:C15972;18293	type3
cpd:C05381;cpd:C15972;18293	cpd:C00068	type4
cpd:C05381;cpd:C15972;18293	cpd:C16254	type4
209692	cpd:C05381;cpd:C15972;209692	type2
cpd:C05381	cpd:C05381;cpd:C15972;209692	type3
cpd:C15972	cpd:C05381;cpd:C15972;209692	type3
cpd:C05381;cpd:C15972;209692	cpd:C00068	type4
cpd:C05381;cpd:C15972;209692	cpd:C16254	type4
239017	cpd:C05381;cpd:C15972;239017	type2
cpd:C05381	cpd:C05381;cpd:C15972;239017	type3
cpd:C15972	cpd:C05381;cpd:C15972;239017	type3
cpd:C05381;cpd:C15972;239017	cpd:C00068	type4
cpd:C05381;cpd:C15972;239017	cpd:C16254	type4
78920	cpd:C00091;cpd:C15973;78920	type2
cpd:C00091	cpd:C00091;cpd:C15973;78920	type3
cpd:C15973	cpd:C00091;cpd:C15973;78920	type3
cpd:C00091;cpd:C15973;78920	cpd:C16254	type4
78920	cpd:C16254;78920	type2
cpd:C16254	cpd:C16254;78920	type3
cpd:C16254;78920	cpd:C00091	type4
cpd:C16254;78920	cpd:C15973	type4
20916	cpd:C00042;20916	type2
cpd:C00042	cpd:C00042;20916	type3
cpd:C00042;20916	cpd:C00091	type4
20917	cpd:C00042;20917	type2
cpd:C00042	cpd:C00042;20917	type3
cpd:C00042;20917	cpd:C00091	type4
56451	cpd:C00042;56451	type2
cpd:C00042	cpd:C00042;56451	type3
cpd:C00042;56451	cpd:C00091	type4
20916	cpd:C00091;20916	type2
cpd:C00091	cpd:C00091;20916	type3
cpd:C00091;20916	cpd:C00042	type4
20917	cpd:C00091;20917	type2
cpd:C00091	cpd:C00091;20917	type3
cpd:C00091;20917	cpd:C00042	type4
