start	end	type
cpd:C00197	cpd:C00197;9270925	type3
cpd:C00197;9270925	cpd:C00631	type4
4327493	cpd:C00197;4327493	type2
cpd:C00197	cpd:C00197;4327493	type3
cpd:C00197;4327493	cpd:C00631	type4
4332728	cpd:C00197;4332728	type2
cpd:C00197	cpd:C00197;4332728	type3
cpd:C00197;4332728	cpd:C00631	type4
4339133	cpd:C00197;4339133	type2
cpd:C00197	cpd:C00197;4339133	type3
cpd:C00197;4339133	cpd:C00631	type4
4328446	cpd:C00118;4328446	type2
cpd:C00118	cpd:C00118;4328446	type3
cpd:C00118;4328446	cpd:C00236	type4
4329892	cpd:C00118;4329892	type2
cpd:C00118	cpd:C00118;4329892	type3
cpd:C00118;4329892	cpd:C00236	type4
4336216	cpd:C00118;4336216	type2
cpd:C00118	cpd:C00118;4336216	type3
cpd:C00118;4336216	cpd:C00236	type4
4341782	cpd:C00118;4341782	type2
cpd:C00118	cpd:C00118;4341782	type3
cpd:C00118;4341782	cpd:C00236	type4
4344564	cpd:C00118;4344564	type2
cpd:C00118	cpd:C00118;4344564	type3
cpd:C00118;4344564	cpd:C00236	type4
4328446	cpd:C00236;4328446	type2
cpd:C00236	cpd:C00236;4328446	type3
cpd:C00236;4328446	cpd:C00118	type4
4329892	cpd:C00236;4329892	type2
cpd:C00236	cpd:C00236;4329892	type3
cpd:C00236;4329892	cpd:C00118	type4
4336216	cpd:C00236;4336216	type2
cpd:C00236	cpd:C00236;4336216	type3
cpd:C00236;4336216	cpd:C00118	type4
4341782	cpd:C00236;4341782	type2
cpd:C00236	cpd:C00236;4341782	type3
cpd:C00236;4341782	cpd:C00118	type4
4344564	cpd:C00236;4344564	type2
cpd:C00236	cpd:C00236;4344564	type3
cpd:C00236;4344564	cpd:C00118	type4
4325211	cpd:C00118;4325211	type2
cpd:C00118	cpd:C00118;4325211	type3
cpd:C00118;4325211	cpd:C00111	type4
4327400	cpd:C00118;4327400	type2
cpd:C00118	cpd:C00118;4327400	type3
cpd:C00118;4327400	cpd:C00111	type4
4347691	cpd:C00118;4347691	type2
cpd:C00118	cpd:C00118;4347691	type3
cpd:C00118;4347691	cpd:C00111	type4
4325211	cpd:C00111;4325211	type2
cpd:C00111	cpd:C00111;4325211	type3
cpd:C00111;4325211	cpd:C00118	type4
4327400	cpd:C00111;4327400	type2
cpd:C00111	cpd:C00111;4327400	type3
cpd:C00111;4327400	cpd:C00118	type4
4347691	cpd:C00111;4347691	type2
cpd:C00111	cpd:C00111;4347691	type3
cpd:C00111;4347691	cpd:C00118	type4
107277365	cpd:C05378;107277365	type2
cpd:C05378	cpd:C05378;107277365	type3
cpd:C05378;107277365	cpd:C00111	type4
cpd:C05378;107277365	cpd:C00118	type4
4325027	cpd:C05378;4325027	type2
