start	end	type
cpd:C00197;AT1G09780	cpd:C00631	type4
AT3G08590	cpd:C00197;AT3G08590	type2
cpd:C00197	cpd:C00197;AT3G08590	type3
cpd:C00197;AT3G08590	cpd:C00631	type4
AT1G13440	cpd:C00118;AT1G13440	type2
cpd:C00118	cpd:C00118;AT1G13440	type3
cpd:C00118;AT1G13440	cpd:C00236	type4
AT1G16300	cpd:C00118;AT1G16300	type2
cpd:C00118	cpd:C00118;AT1G16300	type3
cpd:C00118;AT1G16300	cpd:C00236	type4
AT1G79530	cpd:C00118;AT1G79530	type2
cpd:C00118	cpd:C00118;AT1G79530	type3
cpd:C00118;AT1G79530	cpd:C00236	type4
AT3G04120	cpd:C00118;AT3G04120	type2
cpd:C00118	cpd:C00118;AT3G04120	type3
cpd:C00118;AT3G04120	cpd:C00236	type4
AT1G13440	cpd:C00236;AT1G13440	type2
cpd:C00236	cpd:C00236;AT1G13440	type3
cpd:C00236;AT1G13440	cpd:C00118	type4
AT1G16300	cpd:C00236;AT1G16300	type2
cpd:C00236	cpd:C00236;AT1G16300	type3
cpd:C00236;AT1G16300	cpd:C00118	type4
AT1G79530	cpd:C00236;AT1G79530	type2
cpd:C00236	cpd:C00236;AT1G79530	type3
cpd:C00236;AT1G79530	cpd:C00118	type4
AT3G04120	cpd:C00236;AT3G04120	type2
cpd:C00236	cpd:C00236;AT3G04120	type3
cpd:C00236;AT3G04120	cpd:C00118	type4
AT2G21170	cpd:C00118;AT2G21170	type2
cpd:C00118	cpd:C00118;AT2G21170	type3
cpd:C00118;AT2G21170	cpd:C00111	type4
AT3G55440	cpd:C00118;AT3G55440	type2
cpd:C00118	cpd:C00118;AT3G55440	type3
cpd:C00118;AT3G55440	cpd:C00111	type4
AT2G21170	cpd:C00111;AT2G21170	type2
cpd:C00111	cpd:C00111;AT2G21170	type3
cpd:C00111;AT2G21170	cpd:C00118	type4
AT3G55440	cpd:C00111;AT3G55440	type2
cpd:C00111	cpd:C00111;AT3G55440	type3
cpd:C00111;AT3G55440	cpd:C00118	type4
AT2G01140	cpd:C05378;AT2G01140	type2
cpd:C05378	cpd:C05378;AT2G01140	type3
cpd:C05378;AT2G01140	cpd:C00111	type4
cpd:C05378;AT2G01140	cpd:C00118	type4
AT2G21330	cpd:C05378;AT2G21330	type2
cpd:C05378	cpd:C05378;AT2G21330	type3
cpd:C05378;AT2G21330	cpd:C00111	type4
cpd:C05378;AT2G21330	cpd:C00118	type4
AT2G36460	cpd:C05378;AT2G36460	type2
cpd:C05378	cpd:C05378;AT2G36460	type3
cpd:C05378;AT2G36460	cpd:C00111	type4
cpd:C05378;AT2G36460	cpd:C00118	type4
AT3G52930	cpd:C05378;AT3G52930	type2
cpd:C05378	cpd:C05378;AT3G52930	type3
cpd:C05378;AT3G52930	cpd:C00111	type4
cpd:C05378;AT3G52930	cpd:C00118	type4
AT4G26520	cpd:C05378;AT4G26520	type2
cpd:C05378	cpd:C05378;AT4G26520	type3
cpd:C05378;AT4G26520	cpd:C00111	type4
cpd:C05378;AT4G26520	cpd:C00118	type4
AT4G26530	cpd:C05378;AT4G26530	type2
cpd:C05378	cpd:C05378;AT4G26530	type3
cpd:C05378;AT4G26530	cpd:C00111	type4
cpd:C05378;AT4G26530	cpd:C00118	type4
AT4G38970	cpd:C05378;AT4G38970	type2
cpd:C05378	cpd:C05378;AT4G38970	type3
cpd:C05378;AT4G38970	cpd:C00111	type4
cpd:C05378;AT4G38970	cpd:C00118	type4
AT5G03690	cpd:C05378;AT5G03690	type2
cpd:C05378	cpd:C05378;AT5G03690	type3
cpd:C05378;AT5G03690	cpd:C00111	type4
cpd:C05378;AT5G03690	cpd:C00118	type4
AT2G01140	cpd:C05378;AT2G01140	type2
cpd:C05378	cpd:C05378;AT2G01140	type3
cpd:C05378;AT2G01140	cpd:C00118	type4
AT2G21330	cpd:C05378;AT2G21330	type2
cpd:C05378	cpd:C05378;AT2G21330	type3
cpd:C05378;AT2G21330	cpd:C00118	type4
AT2G36460	cpd:C05378;AT2G36460	type2
cpd:C05378	cpd:C05378;AT2G36460	type3
cpd:C05378;AT2G36460	cpd:C00118	type4
AT3G52930	cpd:C05378;AT3G52930	type2
cpd:C05378	cpd:C05378;AT3G52930	type3
cpd:C05378;AT3G52930	cpd:C00118	type4
AT4G26520	cpd:C05378;AT4G26520	type2
cpd:C05378	cpd:C05378;AT4G26520	type3
cpd:C05378;AT4G26520	cpd:C00118	type4
AT4G26530	cpd:C05378;AT4G26530	type2
cpd:C05378	cpd:C05378;AT4G26530	type3
cpd:C05378;AT4G26530	cpd:C00118	type4
AT4G38970	cpd:C05378;AT4G38970	type2
cpd:C05378	cpd:C05378;AT4G38970	type3
cpd:C05378;AT4G38970	cpd:C00118	type4
AT5G03690	cpd:C05378;AT5G03690	type2
cpd:C05378	cpd:C05378;AT5G03690	type3
cpd:C05378;AT5G03690	cpd:C00118	type4
AT2G01140	cpd:C00111;cpd:C00118;AT2G01140	type2
cpd:C00111	cpd:C00111;cpd:C00118;AT2G01140	type3
cpd:C00118	cpd:C00111;cpd:C00118;AT2G01140	type3
cpd:C00111;cpd:C00118;AT2G01140	cpd:C05378	type4
AT2G21330	cpd:C00111;cpd:C00118;AT2G21330	type2
cpd:C00111	cpd:C00111;cpd:C00118;AT2G21330	type3
